hsa04520	Adherens junction
hsa04920	Adipocytokine signaling pathway
hsa04261	Adrenergic signaling in cardiomyocytes
hsa00250	Alanine, aspartate and glutamate metabolism
hsa04960	Aldosterone-regulated sodium reabsorption
hsa00592	alpha-Linolenic acid metabolism
hsa00520	Amino sugar and nucleotide sugar metabolism
hsa00970	Aminoacyl-tRNA biosynthesis
hsa04612	Antigen processing and presentation
hsa04210	Apoptosis
hsa00590	Arachidonic acid metabolism
hsa00330	Arginine and proline metabolism
hsa04360	Axon guidance
hsa04662	B cell receptor signaling pathway
hsa00410	beta-Alanine metabolism
hsa04976	Bile secretion
hsa00780	Biotin metabolism
hsa00650	Butanoate metabolism
hsa00524	Butirosin and neomycin biosynthesis
hsa00232	Caffeine metabolism
hsa04020	Calcium signaling pathway
hsa04973	Carbohydrate digestion and absorption
hsa04260	Cardiac muscle contraction
hsa04514	Cell adhesion molecules (CAMs)
hsa04110	Cell cycle
hsa04062	Chemokine signaling pathway
hsa04725	Cholinergic synapse
hsa04713	Circadian entrainment
hsa04710	Circadian rhythm
hsa00020	Citrate cycle (TCA cycle)
hsa04610	Complement and coagulation cascades
hsa00460	Cyanoamino acid metabolism
hsa00270	Cysteine and methionine metabolism
hsa04060	Cytokine-cytokine receptor interaction
hsa04623	Cytosolic DNA-sensing pathway
hsa00471	D-Glutamine and D-glutamate metabolism
hsa04728	Dopaminergic synapse
hsa04320	Dorso-ventral axis formation
hsa00982	Drug metabolism - cytochrome P450
hsa00983	Drug metabolism - other enzymes
hsa04512	ECM-receptor interaction
hsa04961	Endocrine and other factor-regulated calcium reabsorption
hsa04012	ErbB signaling pathway
hsa04915	Estrogen signaling pathway
hsa00565	Ether lipid metabolism
hsa04975	Fat digestion and absorption
hsa00061	Fatty acid biosynthesis
hsa00071	Fatty acid degradation
hsa00062	Fatty acid elongation
hsa04664	Fc epsilon RI signaling pathway
hsa04666	Fc gamma R-mediated phagocytosis
hsa04510	Focal adhesion
hsa00790	Folate biosynthesis
hsa04068	FoxO signaling pathway
hsa00051	Fructose and mannose metabolism
hsa04727	GABAergic synapse
hsa00052	Galactose metabolism
hsa04540	Gap junction
hsa04971	Gastric acid secretion
hsa04724	Glutamatergic synapse
hsa00480	Glutathione metabolism
hsa00561	Glycerolipid metabolism
hsa00564	Glycerophospholipid metabolism
hsa00260	Glycine, serine and threonine metabolism
hsa00010	Glycolysis / Gluconeogenesis
hsa00531	Glycosaminoglycan degradation
hsa00604	Glycosphingolipid biosynthesis - ganglio series
hsa00603	Glycosphingolipid biosynthesis - globo series
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series
hsa00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
hsa00630	Glyoxylate and dicarboxylate metabolism
hsa04912	GnRH signaling pathway
hsa04340	Hedgehog signaling pathway
hsa04066	HIF-1 signaling pathway
hsa04390	Hippo signaling pathway
hsa00340	Histidine metabolism
hsa04750	Inflammatory mediator regulation of TRP channels
hsa00562	Inositol phosphate metabolism
hsa04911	Insulin secretion
hsa04910	Insulin signaling pathway
hsa04672	Intestinal immune network for IgA production
hsa04630	Jak-STAT signaling pathway
hsa04670	Leukocyte transendothelial migration
hsa00591	Linoleic acid metabolism
hsa00785	Lipoic acid metabolism
hsa04730	Long-term depression
hsa04720	Long-term potentiation
hsa00300	Lysine biosynthesis
hsa00310	Lysine degradation
hsa04010	MAPK signaling pathway
hsa04916	Melanogenesis
hsa00980	Metabolism of xenobiotics by cytochrome P450
hsa04978	Mineral absorption
hsa04150	mTOR signaling pathway
hsa00512	Mucin type O-Glycan biosynthesis
hsa04650	Natural killer cell mediated cytotoxicity
hsa04080	Neuroactive ligand-receptor interaction
hsa04722	Neurotrophin signaling pathway
hsa04064	NF-kappa B signaling pathway
hsa00510	N-Glycan biosynthesis
hsa00760	Nicotinate and nicotinamide metabolism
hsa00910	Nitrogen metabolism
hsa04621	NOD-like receptor signaling pathway
hsa04330	Notch signaling pathway
hsa04740	Olfactory transduction
hsa00670	One carbon pool by folate
hsa04114	Oocyte meiosis
hsa04380	Osteoclast differentiation
hsa04913	Ovarian steroidogenesis
hsa00190	Oxidative phosphorylation
hsa04115	p53 signaling pathway
hsa04972	Pancreatic secretion
hsa00770	Pantothenate and CoA biosynthesis
hsa00040	Pentose and glucuronate interconversions
hsa00030	Pentose phosphate pathway
hsa00360	Phenylalanine metabolism
hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis
hsa04070	Phosphatidylinositol signaling system
hsa04744	Phototransduction
hsa04151	PI3K-Akt signaling pathway
hsa00860	Porphyrin and chlorophyll metabolism
hsa00120	Primary bile acid biosynthesis
hsa04914	Progesterone-mediated oocyte maturation
hsa04917	Prolactin signaling pathway
hsa00640	Propanoate metabolism
hsa04964	Proximal tubule bicarbonate reclamation
hsa00230	Purine metabolism
hsa00240	Pyrimidine metabolism
hsa00620	Pyruvate metabolism
hsa04015	Rap1 signaling pathway
hsa04014	Ras signaling pathway
hsa04810	Regulation of actin cytoskeleton
hsa00830	Retinol metabolism
hsa04723	Retrograde endocannabinoid signaling
hsa00740	Riboflavin metabolism
hsa04622	RIG-I-like receptor signaling pathway
hsa04970	Salivary secretion
hsa00450	Selenocompound metabolism
hsa04726	Serotonergic synapse
hsa00600	Sphingolipid metabolism
hsa00500	Starch and sucrose metabolism
hsa00100	Steroid biosynthesis
hsa00140	Steroid hormone biosynthesis
hsa00920	Sulfur metabolism
hsa04721	Synaptic vesicle cycle
hsa00072	Synthesis and degradation of ketone bodies
hsa04660	T cell receptor signaling pathway
hsa04742	Taste transduction
hsa00430	Taurine and hypotaurine metabolism
hsa00900	Terpenoid backbone biosynthesis
hsa04350	TGF-beta signaling pathway
hsa00730	Thiamine metabolism
hsa04919	Thyroid hormone signaling pathway
hsa04918	Thyroid hormone synthesis
hsa04530	Tight junction
hsa04668	TNF signaling pathway
hsa04620	Toll-like receptor signaling pathway
hsa00380	Tryptophan metabolism
hsa00350	Tyrosine metabolism
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis
hsa00290	Valine, leucine and isoleucine biosynthesis
hsa00280	Valine, leucine and isoleucine degradation
hsa04270	Vascular smooth muscle contraction
hsa04962	Vasopressin-regulated water reabsorption
hsa04370	VEGF signaling pathway
hsa00750	Vitamin B6 metabolism
hsa04977	Vitamin digestion and absorption
hsa04310	Wnt signaling pathway
